# entropy density for QED , [dp^{(n)}/dT] = MeV^3 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   dp^{(0)}/dT,   dp^{(2)non-log}/dT,   dp^{(2)log}/dT,   dp^{(3)}/dT,   dp^{(4)}/dT,   dp^{(5)}/dT
 5.594528730887e-03   +1.536164584721e-07   -6.6426e-47   +4.5875e-84   +1.9177e-64   -2.0593e-12   -2.7272e-13
 5.599559407283e-03   +1.540312332518e-07   -7.2206e-47   +5.4058e-84   +2.1684e-64   -2.0648e-12   -2.7345e-13
 5.604594607331e-03   +1.544471279514e-07   -7.8484e-47   +6.3690e-84   +2.4517e-64   -2.0704e-12   -2.7419e-13
 5.609634335099e-03   +1.548641455946e-07   -8.5302e-47   +7.5028e-84   +2.7718e-64   -2.0760e-12   -2.7493e-13
 5.614678594659e-03   +1.552822892136e-07   -9.2705e-47   +8.8372e-84   +3.1332e-64   -2.0816e-12   -2.7567e-13
 5.619727390086e-03   +1.557015618485e-07   -1.0074e-46   +1.0407e-83   +3.5414e-64   -2.0872e-12   -2.7642e-13
 5.624780725459e-03   +1.561219665477e-07   -1.0947e-46   +1.2255e-83   +4.0023e-64   -2.0928e-12   -2.7717e-13
 5.629838604860e-03   +1.565435063679e-07   -1.1894e-46   +1.4427e-83   +4.5227e-64   -2.0985e-12   -2.7791e-13
 5.634901032374e-03   +1.569661843740e-07   -1.2923e-46   +1.6983e-83   +5.1102e-64   -2.1042e-12   -2.7866e-13
 5.639968012093e-03   +1.573900036392e-07   -1.4039e-46   +1.9989e-83   +5.7734e-64   -2.1098e-12   -2.7942e-13
 5.645039548108e-03   +1.578149672449e-07   -1.5251e-46   +2.3523e-83   +6.5220e-64   -2.1155e-12   -2.8017e-13
 5.650115644518e-03   +1.582410782810e-07   -1.6566e-46   +2.7678e-83   +7.3668e-64   -2.1212e-12   -2.8093e-13
 5.655196305423e-03   +1.586683398456e-07   -1.7993e-46   +3.2562e-83   +8.3201e-64   -2.1270e-12   -2.8168e-13
 5.660281534927e-03   +1.590967550451e-07   -1.9542e-46   +3.8303e-83   +9.3957e-64   -2.1327e-12   -2.8245e-13
 5.665371337139e-03   +1.595263269945e-07   -2.1222e-46   +4.5049e-83   +1.0609e-63   -2.1385e-12   -2.8321e-13
 5.670465716170e-03   +1.599570588172e-07   -2.3045e-46   +5.2975e-83   +1.1978e-63   -2.1442e-12   -2.8397e-13
 5.675564676136e-03   +1.603889536447e-07   -2.5023e-46   +6.2287e-83   +1.3522e-63   -2.1500e-12   -2.8474e-13
 5.680668221156e-03   +1.608220146173e-07   -2.7169e-46   +7.3225e-83   +1.5264e-63   -2.1558e-12   -2.8551e-13
 5.685776355354e-03   +1.612562448838e-07   -2.9497e-46   +8.6071e-83   +1.7228e-63   -2.1617e-12   -2.8628e-13
 5.690889082855e-03   +1.616916476011e-07   -3.2022e-46   +1.0116e-82   +1.9443e-63   -2.1675e-12   -2.8705e-13
 5.696006407791e-03   +1.621282259352e-07   -3.4760e-46   +1.1887e-82   +2.1939e-63   -2.1733e-12   -2.8783e-13
 5.701128334295e-03   +1.625659830601e-07   -3.7730e-46   +1.3966e-82   +2.4754e-63   -2.1792e-12   -2.8861e-13
 5.706254866505e-03   +1.630049221587e-07   -4.0950e-46   +1.6407e-82   +2.7927e-63   -2.1851e-12   -2.8938e-13
 5.711386008562e-03   +1.634450464225e-07   -4.4443e-46   +1.9271e-82   +3.1503e-63   -2.1910e-12   -2.9017e-13
 5.716521764612e-03   +1.638863590513e-07   -4.8229e-46   +2.2632e-82   +3.5534e-63   -2.1969e-12   -2.9095e-13
 5.721662138804e-03   +1.643288632540e-07   -5.2335e-46   +2.6576e-82   +4.0075e-63   -2.2029e-12   -2.9174e-13
 5.726807135291e-03   +1.647725622479e-07   -5.6785e-46   +3.1202e-82   +4.5192e-63   -2.2088e-12   -2.9252e-13
