# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in Escudero 2001.04466, JCAP 05 (2020) 048
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.044
# O_nu/mnu (eV) = 93.07
# s0 (cm^-3)    = 2906.92
# g_s0          = 3.930
# g_*0          = 3.383
# Definitions: a is the dimensionless scale factor, z_gam = a T_gam/m_e , z_nu = a T_nu/m_e, N is defined in Eq A.17 in 2001.04466
# t (s)        T_gam (MeV)    T_gam/T_nue    T_gam/T_numu   g*             gs             a              z_gam          z_nue          z_numu         N              
2.2309620E-02  5.7543994E+00  1.0000051E+00  1.0000077E+00  1.0734686E+01  1.0733752E+01  8.8809411E-02  1.0000877E+00  1.0000826E+00  1.0000800E+00  1.1390359E-03  
2.2724452E-02  5.7016427E+00  1.0000054E+00  1.0000080E+00  1.0734643E+01  1.0733693E+01  8.9631318E-02  1.0000895E+00  1.0000842E+00  1.0000815E+00  1.1574710E-03  
2.3146998E-02  5.6493697E+00  1.0000056E+00  1.0000084E+00  1.0734600E+01  1.0733632E+01  9.0460836E-02  1.0000914E+00  1.0000858E+00  1.0000830E+00  1.1761425E-03  
2.3577402E-02  5.5975760E+00  1.0000059E+00  1.0000087E+00  1.0734555E+01  1.0733571E+01  9.1298035E-02  1.0000933E+00  1.0000875E+00  1.0000846E+00  1.1950503E-03  
2.4015811E-02  5.5462571E+00  1.0000061E+00  1.0000091E+00  1.0734509E+01  1.0733508E+01  9.2142985E-02  1.0000953E+00  1.0000891E+00  1.0000861E+00  1.2141901E-03  
2.4462374E-02  5.4954087E+00  1.0000064E+00  1.0000095E+00  1.0734463E+01  1.0733444E+01  9.2995758E-02  1.0000973E+00  1.0000909E+00  1.0000877E+00  1.2335623E-03  
2.4917242E-02  5.4450265E+00  1.0000067E+00  1.0000099E+00  1.0734415E+01  1.0733378E+01  9.3856428E-02  1.0000993E+00  1.0000926E+00  1.0000894E+00  1.2531619E-03  
2.5380570E-02  5.3951062E+00  1.0000070E+00  1.0000104E+00  1.0734366E+01  1.0733312E+01  9.4725068E-02  1.0001014E+00  1.0000944E+00  1.0000910E+00  1.2729942E-03  
2.5852515E-02  5.3456436E+00  1.0000073E+00  1.0000108E+00  1.0734316E+01  1.0733243E+01  9.5601751E-02  1.0001035E+00  1.0000962E+00  1.0000927E+00  1.2930620E-03  
2.6333237E-02  5.2966344E+00  1.0000076E+00  1.0000113E+00  1.0734265E+01  1.0733174E+01  9.6486552E-02  1.0001057E+00  1.0000980E+00  1.0000943E+00  1.3133756E-03  
2.6822901E-02  5.2480746E+00  1.0000080E+00  1.0000118E+00  1.0734213E+01  1.0733103E+01  9.7379546E-02  1.0001079E+00  1.0000999E+00  1.0000961E+00  1.3339278E-03  
2.7321671E-02  5.1999600E+00  1.0000083E+00  1.0000123E+00  1.0734159E+01  1.0733030E+01  9.8280809E-02  1.0001101E+00  1.0001018E+00  1.0000978E+00  1.3547106E-03  
2.7829719E-02  5.1522864E+00  1.0000087E+00  1.0000129E+00  1.0734105E+01  1.0732956E+01  9.9190418E-02  1.0001124E+00  1.0001037E+00  1.0000996E+00  1.3757251E-03  
2.8347215E-02  5.1050500E+00  1.0000091E+00  1.0000134E+00  1.0734049E+01  1.0732880E+01  1.0010845E-01  1.0001148E+00  1.0001057E+00  1.0001013E+00  1.3969658E-03  
2.8874337E-02  5.0582466E+00  1.0000095E+00  1.0000140E+00  1.0733991E+01  1.0732803E+01  1.0103499E-01  1.0001172E+00  1.0001077E+00  1.0001032E+00  1.4184341E-03  
2.9411264E-02  5.0118723E+00  1.0000099E+00  1.0000146E+00  1.0733933E+01  1.0732724E+01  1.0197010E-01  1.0001196E+00  1.0001097E+00  1.0001050E+00  1.4401334E-03  
2.9958177E-02  4.9659232E+00  1.0000103E+00  1.0000153E+00  1.0733873E+01  1.0732644E+01  1.0291388E-01  1.0001221E+00  1.0001118E+00  1.0001069E+00  1.4620634E-03  
3.0515262E-02  4.9203954E+00  1.0000108E+00  1.0000159E+00  1.0733811E+01  1.0732561E+01  1.0386639E-01  1.0001247E+00  1.0001139E+00  1.0001088E+00  1.4842191E-03  
3.1082710E-02  4.8752849E+00  1.0000112E+00  1.0000166E+00  1.0733749E+01  1.0732477E+01  1.0482773E-01  1.0001273E+00  1.0001160E+00  1.0001107E+00  1.5066055E-03  
3.1660713E-02  4.8305880E+00  1.0000117E+00  1.0000173E+00  1.0733685E+01  1.0732391E+01  1.0579797E-01  1.0001300E+00  1.0001182E+00  1.0001126E+00  1.5292197E-03  
3.2249466E-02  4.7863009E+00  1.0000122E+00  1.0000181E+00  1.0733619E+01  1.0732304E+01  1.0677720E-01  1.0001327E+00  1.0001204E+00  1.0001146E+00  1.5520627E-03  
3.2849172E-02  4.7424199E+00  1.0000128E+00  1.0000188E+00  1.0733551E+01  1.0732214E+01  1.0776549E-01  1.0001355E+00  1.0001227E+00  1.0001166E+00  1.5751291E-03  
3.3460032E-02  4.6989411E+00  1.0000133E+00  1.0000196E+00  1.0733483E+01  1.0732123E+01  1.0876294E-01  1.0001383E+00  1.0001250E+00  1.0001187E+00  1.5984115E-03  
3.4082255E-02  4.6558609E+00  1.0000139E+00  1.0000205E+00  1.0733412E+01  1.0732030E+01  1.0976963E-01  1.0001412E+00  1.0001273E+00  1.0001207E+00  1.6219052E-03  
3.4716053E-02  4.6131757E+00  1.0000145E+00  1.0000214E+00  1.0733340E+01  1.0731934E+01  1.1078565E-01  1.0001442E+00  1.0001296E+00  1.0001228E+00  1.6456085E-03  
3.5361641E-02  4.5708819E+00  1.0000151E+00  1.0000223E+00  1.0733266E+01  1.0731837E+01  1.1181107E-01  1.0001472E+00  1.0001320E+00  1.0001249E+00  1.6695265E-03  
